"Time","State","Local","Remote","OwningPid","ProcessName"
"2026-04-05T23:44:36.7656080+08:00","Established","127.0.0.1:13688","127.0.0.1:8492","6556","GCUBridge"
"2026-04-05T23:44:36.7187323+08:00","Listen","127.0.0.1:20122","0.0.0.0:0","6612","sing-box"
"2026-04-05T23:44:36.7020883+08:00","Established","127.0.0.1:20122","127.0.0.1:11625","6612","sing-box"
"2026-04-05T23:44:36.7187323+08:00","Established","127.0.0.1:20122","127.0.0.1:12215","6612","sing-box"
"2026-04-05T23:44:36.7187323+08:00","Established","127.0.0.1:20122","127.0.0.1:12824","6612","sing-box"
"2026-04-05T23:44:36.6723083+08:00","FinWait2","127.0.0.1:20122","127.0.0.1:13197","6612","sing-box"
"2026-04-05T23:44:36.7030877+08:00","Established","127.0.0.1:20122","127.0.0.1:13223","6612","sing-box"
"2026-04-05T23:44:36.7187323+08:00","Established","127.0.0.1:20122","127.0.0.1:2647","6612","sing-box"
"2026-04-05T23:44:36.7343564+08:00","Established","127.0.0.1:20122","127.0.0.1:4962","6612","sing-box"
"2026-04-05T23:44:36.6980886+08:00","Established","127.0.0.1:20122","127.0.0.1:5248","6612","sing-box"
"2026-04-05T23:44:36.7030877+08:00","Established","127.0.0.1:20122","127.0.0.1:5504","6612","sing-box"
"2026-04-05T23:44:36.6940887+08:00","Established","127.0.0.1:20122","127.0.0.1:7195","6612","sing-box"
"2026-04-05T23:44:36.7343564+08:00","Established","127.0.0.1:20122","127.0.0.1:9346","6612","sing-box"
"2026-04-05T23:44:36.7030877+08:00","Established","127.0.0.1:20122","127.0.0.1:9423","6612","sing-box"
"2026-04-05T23:44:36.6723083+08:00","Listen","127.0.0.1:20123","0.0.0.0:0","6612","sing-box"
"2026-04-05T23:44:36.6567624+08:00","Established","127.0.0.1:20123","127.0.0.1:1206","6612","sing-box"
"2026-04-05T23:44:36.6567624+08:00","Established","127.0.0.1:20123","127.0.0.1:3775","6612","sing-box"
"2026-04-05T23:44:36.6567624+08:00","Established","127.0.0.1:20123","127.0.0.1:8471","6612","sing-box"
"2026-04-05T23:44:37.0477440+08:00","Listen","127.0.0.1:9080","0.0.0.0:0","6620","NahimicService"
"2026-04-05T23:44:37.2364821+08:00","Listen","127.0.0.1:1546","0.0.0.0:0","6672","jhi_service"
"2026-04-05T23:44:37.0300743+08:00","Established","127.0.0.1:10296","127.0.0.1:31104","6796","RestService"
"2026-04-05T23:44:37.0250659+08:00","Established","127.0.0.1:10303","127.0.0.1:31104","6796","RestService"
"2026-04-05T23:44:36.6410223+08:00","Listen","127.0.0.1:31100","0.0.0.0:0","6796","RestService"
"2026-04-05T23:44:36.5467721+08:00","Established","::1:50052","::1:1549","6832","LicenseService"
"2026-04-05T23:44:36.6094420+08:00","Listen","127.0.0.1:49890","0.0.0.0:0","7040","XxYunHelperService"
"2026-04-05T23:44:36.5938168+08:00","Established","::1:1549","::1:50052","7376","CoordService"
"2026-04-05T23:44:36.6410223+08:00","Established","127.0.0.1:31104","127.0.0.1:10296","7376","CoordService"
"2026-04-05T23:44:36.6250670+08:00","Established","127.0.0.1:31104","127.0.0.1:10303","7376","CoordService"
"2026-04-05T23:44:37.0041205+08:00","Established","127.0.0.1:11625","127.0.0.1:20122","8000","chrome"
"2026-04-05T23:44:36.9728704+08:00","Established","127.0.0.1:12215","127.0.0.1:20122","8000","chrome"
"2026-04-05T23:44:36.9728704+08:00","Established","127.0.0.1:12824","127.0.0.1:20122","8000","chrome"
"2026-04-05T23:44:36.9572402+08:00","CloseWait","127.0.0.1:13197","127.0.0.1:20122","8000","chrome"
"2026-04-05T23:44:37.1566804+08:00","Established","127.0.0.1:2647","127.0.0.1:20122","8000","chrome"
"2026-04-05T23:44:37.1410353+08:00","Established","127.0.0.1:4962","127.0.0.1:20122","8000","chrome"
"2026-04-05T23:44:37.1410353+08:00","Established","127.0.0.1:5248","127.0.0.1:20122","8000","chrome"
"2026-04-05T23:44:37.1102367+08:00","Established","127.0.0.1:5504","127.0.0.1:20122","8000","chrome"
"2026-04-05T23:44:37.1102367+08:00","Established","127.0.0.1:7195","127.0.0.1:20122","8000","chrome"
"2026-04-05T23:44:37.0477440+08:00","Established","127.0.0.1:9346","127.0.0.1:20122","8000","chrome"
"2026-04-05T23:44:37.0477440+08:00","Established","127.0.0.1:9423","127.0.0.1:20122","8000","chrome"
"2026-04-05T23:44:37.2245392+08:00","Established","127.0.0.1:1551","127.0.0.1:1552","8076","mysqld"
"2026-04-05T23:44:37.2194553+08:00","Established","127.0.0.1:1552","127.0.0.1:1551","8076","mysqld"
"2026-04-05T23:44:37.2035631+08:00","Established","127.0.0.1:1553","127.0.0.1:1554","8076","mysqld"
"2026-04-05T23:44:37.2035631+08:00","Established","127.0.0.1:1554","127.0.0.1:1553","8076","mysqld"
"2026-04-05T23:44:36.6094420+08:00","Listen","127.0.0.1:49351","0.0.0.0:0","10900","esrv"
"2026-04-05T23:44:37.1723170+08:00","Established","127.0.0.1:1801","127.0.0.1:13688","12100","GCUService"
"2026-04-05T23:44:36.5726763+08:00","Listen","::1:42050",":::0","13772","OneDrive.Sync.Service"
"2026-04-05T23:44:36.9053796+08:00","Established","127.0.0.1:13223","127.0.0.1:20122","14012","smartscreen"
"2026-04-05T23:44:36.9728704+08:00","Listen","127.0.0.1:12900","0.0.0.0:0","14572","AndrowsStore"
"2026-04-05T23:44:36.6410223+08:00","Listen","127.0.0.1:25120","0.0.0.0:0","14572","AndrowsStore"
"2026-04-05T23:44:37.1410353+08:00","Listen","127.0.0.1:5283","0.0.0.0:0","14572","AndrowsStore"
"2026-04-05T23:44:37.1566804+08:00","Established","127.0.0.1:2651","127.0.0.1:13688","15116","OSDTpDetect"
"2026-04-05T23:44:36.5938168+08:00","Listen","::1:1567",":::0","15828","AndrowsDlSvr"
"2026-04-05T23:44:36.5781877+08:00","Established","::1:1567","::1:6209","15828","AndrowsDlSvr"
"2026-04-05T23:44:37.1879397+08:00","Listen","127.0.0.1:1567","0.0.0.0:0","15828","AndrowsDlSvr"
"2026-04-05T23:44:36.5781877+08:00","Established","::1:6209","::1:1567","16212","CefRendererProcess"
"2026-04-05T23:44:37.0200670+08:00","Established","127.0.0.1:10367","127.0.0.1:10368","16224","Tomcat9"
"2026-04-05T23:44:37.0041205+08:00","Established","127.0.0.1:10368","127.0.0.1:10367","16224","Tomcat9"
"2026-04-05T23:44:37.0946232+08:00","Listen","127.0.0.1:8005","0.0.0.0:0","16224","Tomcat9"
"2026-04-05T23:44:36.7656080+08:00","FinWait2","127.0.0.1:13263","127.0.0.1:49350","20444","esrv_svc"
"2026-04-05T23:44:36.6250670+08:00","Listen","127.0.0.1:49350","0.0.0.0:0","20444","esrv_svc"
"2026-04-05T23:44:36.6250670+08:00","CloseWait","127.0.0.1:49350","127.0.0.1:13263","20444","esrv_svc"
"2026-04-05T23:44:36.5938168+08:00","Bound","0.0.0.0:8492","0.0.0.0:0","23508","SystrayComponent"
"2026-04-05T23:44:37.0633616+08:00","Established","127.0.0.1:8492","127.0.0.1:13688","23508","SystrayComponent"
