"Time","State","Local","Remote","OwningPid","ProcessName","Sample"
"2026-04-05T23:44:40.8290851+08:00","TimeWait","127.0.0.1:49362","127.0.0.1:13264","0","Idle","1"
"2026-04-05T23:44:41.5374074+08:00","TimeWait","127.0.0.1:6208","127.0.0.1:20122","0","Idle","1"
"2026-04-05T23:44:41.5162787+08:00","TimeWait","127.0.0.1:7212","127.0.0.1:49350","0","Idle","1"
"2026-04-05T23:44:41.5006406+08:00","TimeWait","127.0.0.1:7803","127.0.0.1:20122","0","Idle","1"
"2026-04-05T23:44:41.5006406+08:00","TimeWait","127.0.0.1:8332","127.0.0.1:20122","0","Idle","1"
"2026-04-05T23:44:41.4846302+08:00","TimeWait","127.0.0.1:8867","127.0.0.1:20122","0","Idle","1"
"2026-04-05T23:44:41.4654921+08:00","TimeWait","127.0.0.1:9426","127.0.0.1:49350","0","Idle","1"
"2026-04-05T23:44:41.4594925+08:00","TimeWait","127.0.0.1:9427","127.0.0.1:49350","0","Idle","1"
"2026-04-05T23:44:41.6486097+08:00","Established","127.0.0.1:1558","127.0.0.1:1559","2620","WUDFHost","1"
"2026-04-05T23:44:41.6437391+08:00","Established","127.0.0.1:1559","127.0.0.1:1558","2620","WUDFHost","1"
"2026-04-05T23:44:41.6379412+08:00","Established","127.0.0.1:1561","127.0.0.1:1562","3256","NVDisplay.Container","1"
"2026-04-05T23:44:41.6286755+08:00","Established","127.0.0.1:1562","127.0.0.1:1561","3256","NVDisplay.Container","1"
"2026-04-05T23:44:41.5620981+08:00","Listen","127.0.0.1:5284","0.0.0.0:0","3356","AndrowsSvr","1"
"2026-04-05T23:44:41.6948291+08:00","Established","127.0.0.1:1206","127.0.0.1:20123","4288","msedgewebview2","1"
"2026-04-05T23:44:41.5777597+08:00","Established","127.0.0.1:3775","127.0.0.1:20123","4288","msedgewebview2","1"
"2026-04-05T23:44:41.4955655+08:00","Established","127.0.0.1:8471","127.0.0.1:20123","4288","msedgewebview2","1"
"2026-04-05T23:44:41.6825236+08:00","Established","127.0.0.1:1547","127.0.0.1:5354","6432","AppleMobileDeviceService","1"
"2026-04-05T23:44:41.6710489+08:00","Established","127.0.0.1:1550","127.0.0.1:5354","6432","AppleMobileDeviceService","1"
"2026-04-05T23:44:40.8603354+08:00","Listen","127.0.0.1:27015","0.0.0.0:0","6432","AppleMobileDeviceService","1"
"2026-04-05T23:44:41.5560987+08:00","Listen","127.0.0.1:5354","0.0.0.0:0","6512","mDNSResponder","1"
"2026-04-05T23:44:41.5610907+08:00","Established","127.0.0.1:5354","127.0.0.1:1547","6512","mDNSResponder","1"
"2026-04-05T23:44:41.5510927+08:00","Established","127.0.0.1:5354","127.0.0.1:1550","6512","mDNSResponder","1"
"2026-04-05T23:44:40.7897889+08:00","Listen",":::13688",":::0","6556","GCUBridge","1"
"2026-04-05T23:44:41.0158703+08:00","Listen","0.0.0.0:13688","0.0.0.0:0","6556","GCUBridge","1"
"2026-04-05T23:44:41.0158703+08:00","Established","127.0.0.1:13688","127.0.0.1:1801","6556","GCUBridge","1"
"2026-04-05T23:44:41.0148704+08:00","Established","127.0.0.1:13688","127.0.0.1:2651","6556","GCUBridge","1"
"2026-04-05T23:44:41.0158703+08:00","Established","127.0.0.1:13688","127.0.0.1:8492","6556","GCUBridge","1"
"2026-04-05T23:44:40.9423098+08:00","Listen","127.0.0.1:20122","0.0.0.0:0","6612","sing-box","1"
"2026-04-05T23:44:40.9583948+08:00","Established","127.0.0.1:20122","127.0.0.1:11625","6612","sing-box","1"
"2026-04-05T23:44:40.9423098+08:00","Established","127.0.0.1:20122","127.0.0.1:12215","6612","sing-box","1"
"2026-04-05T23:44:40.9998698+08:00","Established","127.0.0.1:20122","127.0.0.1:12824","6612","sing-box","1"
"2026-04-05T23:44:40.9423098+08:00","FinWait2","127.0.0.1:20122","127.0.0.1:13197","6612","sing-box","1"
"2026-04-05T23:44:40.9740261+08:00","Established","127.0.0.1:20122","127.0.0.1:13223","6612","sing-box","1"
"2026-04-05T23:44:40.9155988+08:00","Established","127.0.0.1:20122","127.0.0.1:2647","6612","sing-box","1"
"2026-04-05T23:44:40.9740261+08:00","Established","127.0.0.1:20122","127.0.0.1:4962","6612","sing-box","1"
"2026-04-05T23:44:40.9583948+08:00","Established","127.0.0.1:20122","127.0.0.1:5248","6612","sing-box","1"
"2026-04-05T23:44:40.9266112+08:00","Established","127.0.0.1:20122","127.0.0.1:5504","6612","sing-box","1"
"2026-04-05T23:44:40.9947926+08:00","Established","127.0.0.1:20122","127.0.0.1:7195","6612","sing-box","1"
"2026-04-05T23:44:40.9322887+08:00","Established","127.0.0.1:20122","127.0.0.1:9346","6612","sing-box","1"
"2026-04-05T23:44:40.9740261+08:00","Established","127.0.0.1:20122","127.0.0.1:9423","6612","sing-box","1"
"2026-04-05T23:44:40.8930319+08:00","Listen","127.0.0.1:20123","0.0.0.0:0","6612","sing-box","1"
"2026-04-05T23:44:40.9153406+08:00","Established","127.0.0.1:20123","127.0.0.1:1206","6612","sing-box","1"
"2026-04-05T23:44:40.8980312+08:00","Established","127.0.0.1:20123","127.0.0.1:3775","6612","sing-box","1"
"2026-04-05T23:44:40.9040464+08:00","Established","127.0.0.1:20123","127.0.0.1:8471","6612","sing-box","1"
"2026-04-05T23:44:41.4796372+08:00","Listen","127.0.0.1:9080","0.0.0.0:0","6620","NahimicService","1"
"2026-04-05T23:44:41.6883710+08:00","Listen","127.0.0.1:1546","0.0.0.0:0","6672","jhi_service","1"
"2026-04-05T23:44:41.4376925+08:00","Established","127.0.0.1:10296","127.0.0.1:31104","6796","RestService","1"
"2026-04-05T23:44:41.4376925+08:00","Established","127.0.0.1:10303","127.0.0.1:31104","6796","RestService","1"
"2026-04-05T23:44:40.8603354+08:00","Listen","127.0.0.1:31100","0.0.0.0:0","6796","RestService","1"
"2026-04-05T23:44:40.7660209+08:00","Established","::1:50052","::1:1549","6832","LicenseService","1"
"2026-04-05T23:44:40.8290851+08:00","Listen","127.0.0.1:49890","0.0.0.0:0","7040","XxYunHelperService","1"
"2026-04-05T23:44:40.8134613+08:00","Established","::1:1549","::1:50052","7376","CoordService","1"
"2026-04-05T23:44:40.8447104+08:00","Established","127.0.0.1:31104","127.0.0.1:10296","7376","CoordService","1"
"2026-04-05T23:44:40.8603354+08:00","Established","127.0.0.1:31104","127.0.0.1:10303","7376","CoordService","1"
"2026-04-05T23:44:41.4064429+08:00","Established","127.0.0.1:11625","127.0.0.1:20122","8000","chrome","1"
"2026-04-05T23:44:41.3595687+08:00","Established","127.0.0.1:12215","127.0.0.1:20122","8000","chrome","1"
"2026-04-05T23:44:41.3595687+08:00","Established","127.0.0.1:12824","127.0.0.1:20122","8000","chrome","1"
"2026-04-05T23:44:41.3439018+08:00","CloseWait","127.0.0.1:13197","127.0.0.1:20122","8000","chrome","1"
"2026-04-05T23:44:41.5933887+08:00","Established","127.0.0.1:2647","127.0.0.1:20122","8000","chrome","1"
"2026-04-05T23:44:41.5777597+08:00","Established","127.0.0.1:4962","127.0.0.1:20122","8000","chrome","1"
"2026-04-05T23:44:41.5620981+08:00","Established","127.0.0.1:5248","127.0.0.1:20122","8000","chrome","1"
"2026-04-05T23:44:41.5374074+08:00","Established","127.0.0.1:5504","127.0.0.1:20122","8000","chrome","1"
"2026-04-05T23:44:41.5162787+08:00","Established","127.0.0.1:7195","127.0.0.1:20122","8000","chrome","1"
"2026-04-05T23:44:41.4756370+08:00","Established","127.0.0.1:9346","127.0.0.1:20122","8000","chrome","1"
"2026-04-05T23:44:41.4706376+08:00","Established","127.0.0.1:9423","127.0.0.1:20122","8000","chrome","1"
"2026-04-05T23:44:41.6710489+08:00","Established","127.0.0.1:1551","127.0.0.1:1552","8076","mysqld","1"
"2026-04-05T23:44:41.6663570+08:00","Established","127.0.0.1:1552","127.0.0.1:1551","8076","mysqld","1"
"2026-04-05T23:44:41.6605593+08:00","Established","127.0.0.1:1553","127.0.0.1:1554","8076","mysqld","1"
"2026-04-05T23:44:41.6543171+08:00","Established","127.0.0.1:1554","127.0.0.1:1553","8076","mysqld","1"
"2026-04-05T23:44:41.6090131+08:00","Established","127.0.0.1:1801","127.0.0.1:13688","12100","GCUService","1"
"2026-04-05T23:44:40.7827901+08:00","Listen","::1:42050",":::0","13772","OneDrive.Sync.Service","1"
"2026-04-05T23:44:41.2659207+08:00","Established","127.0.0.1:13223","127.0.0.1:20122","14012","smartscreen","1"
"2026-04-05T23:44:41.3595687+08:00","Listen","127.0.0.1:12900","0.0.0.0:0","14572","AndrowsStore","1"
"2026-04-05T23:44:40.8870305+08:00","Listen","127.0.0.1:25120","0.0.0.0:0","14572","AndrowsStore","1"
"2026-04-05T23:44:41.5620981+08:00","Listen","127.0.0.1:5283","0.0.0.0:0","14572","AndrowsStore","1"
"2026-04-05T23:44:41.5777597+08:00","Established","127.0.0.1:2651","127.0.0.1:13688","15116","OSDTpDetect","1"
"2026-04-05T23:44:40.7977907+08:00","Listen","::1:1567",":::0","15828","AndrowsDlSvr","1"
"2026-04-05T23:44:40.7977907+08:00","Established","::1:1567","::1:6209","15828","AndrowsDlSvr","1"
"2026-04-05T23:44:41.6246359+08:00","Listen","127.0.0.1:1567","0.0.0.0:0","15828","AndrowsDlSvr","1"
"2026-04-05T23:44:40.7957896+08:00","Established","::1:6209","::1:1567","16212","CefRendererProcess","1"
"2026-04-05T23:44:41.4220722+08:00","Established","127.0.0.1:10367","127.0.0.1:10368","16224","Tomcat9","1"
"2026-04-05T23:44:41.4064429+08:00","Established","127.0.0.1:10368","127.0.0.1:10367","16224","Tomcat9","1"
"2026-04-05T23:44:41.5006406+08:00","Listen","127.0.0.1:8005","0.0.0.0:0","16224","Tomcat9","1"
"2026-04-05T23:44:41.0315072+08:00","FinWait2","127.0.0.1:13278","127.0.0.1:49350","20444","esrv_svc","1"
"2026-04-05T23:44:40.8447104+08:00","Listen","127.0.0.1:49350","0.0.0.0:0","20444","esrv_svc","1"
"2026-04-05T23:44:40.8290851+08:00","CloseWait","127.0.0.1:49350","127.0.0.1:13278","20444","esrv_svc","1"
"2026-04-05T23:44:40.8134613+08:00","Bound","0.0.0.0:8492","0.0.0.0:0","23508","SystrayComponent","1"
"2026-04-05T23:44:41.4905641+08:00","Established","127.0.0.1:8492","127.0.0.1:13688","23508","SystrayComponent","1"
"2026-04-05T23:44:42.8794688+08:00","TimeWait","127.0.0.1:10075","127.0.0.1:20122","0","Idle","2"
"2026-04-05T23:44:42.8438598+08:00","TimeWait","127.0.0.1:11686","127.0.0.1:49350","0","Idle","2"
"2026-04-05T23:44:42.8438598+08:00","TimeWait","127.0.0.1:11687","127.0.0.1:49350","0","Idle","2"
"2026-04-05T23:44:42.8282348+08:00","TimeWait","127.0.0.1:12100","127.0.0.1:20122","0","Idle","2"
"2026-04-05T23:44:42.8126099+08:00","TimeWait","127.0.0.1:13199","127.0.0.1:49350","0","Idle","2"
"2026-04-05T23:44:42.7969875+08:00","TimeWait","127.0.0.1:13200","127.0.0.1:49350","0","Idle","2"
"2026-04-05T23:44:42.7969875+08:00","TimeWait","127.0.0.1:13201","127.0.0.1:49350","0","Idle","2"
"2026-04-05T23:44:42.7969875+08:00","TimeWait","127.0.0.1:13202","127.0.0.1:49350","0","Idle","2"
"2026-04-05T23:44:42.7813591+08:00","TimeWait","127.0.0.1:13203","127.0.0.1:5354","0","Idle","2"
"2026-04-05T23:44:42.7813591+08:00","TimeWait","127.0.0.1:13204","127.0.0.1:5354","0","Idle","2"
"2026-04-05T23:44:42.7657343+08:00","TimeWait","127.0.0.1:13210","127.0.0.1:27015","0","Idle","2"
"2026-04-05T23:44:42.7657343+08:00","TimeWait","127.0.0.1:13211","127.0.0.1:27015","0","Idle","2"
"2026-04-05T23:44:42.7657343+08:00","TimeWait","127.0.0.1:13215","127.0.0.1:27015","0","Idle","2"
"2026-04-05T23:44:42.7643664+08:00","TimeWait","127.0.0.1:13216","127.0.0.1:27015","0","Idle","2"
"2026-04-05T23:44:42.7563665+08:00","TimeWait","127.0.0.1:13217","127.0.0.1:20122","0","Idle","2"
"2026-04-05T23:44:42.7502851+08:00","TimeWait","127.0.0.1:13221","127.0.0.1:49350","0","Idle","2"
"2026-04-05T23:44:42.7452853+08:00","TimeWait","127.0.0.1:13222","127.0.0.1:49350","0","Idle","2"
"2026-04-05T23:44:42.7342874+08:00","TimeWait","127.0.0.1:13225","127.0.0.1:49350","0","Idle","2"
"2026-04-05T23:44:42.7185130+08:00","TimeWait","127.0.0.1:13226","127.0.0.1:49350","0","Idle","2"
"2026-04-05T23:44:42.7185130+08:00","TimeWait","127.0.0.1:13227","127.0.0.1:49350","0","Idle","2"
"2026-04-05T23:44:42.7028881+08:00","TimeWait","127.0.0.1:13228","127.0.0.1:49350","0","Idle","2"
"2026-04-05T23:44:42.7028881+08:00","TimeWait","127.0.0.1:13229","127.0.0.1:49350","0","Idle","2"
"2026-04-05T23:44:42.7028881+08:00","TimeWait","127.0.0.1:13230","127.0.0.1:49350","0","Idle","2"
"2026-04-05T23:44:42.6872632+08:00","TimeWait","127.0.0.1:13231","127.0.0.1:49350","0","Idle","2"
"2026-04-05T23:44:42.6872632+08:00","TimeWait","127.0.0.1:13232","127.0.0.1:49350","0","Idle","2"
"2026-04-05T23:44:42.6716395+08:00","TimeWait","127.0.0.1:13233","127.0.0.1:49350","0","Idle","2"
"2026-04-05T23:44:42.6716395+08:00","TimeWait","127.0.0.1:13234","127.0.0.1:49350","0","Idle","2"
"2026-04-05T23:44:42.6716395+08:00","TimeWait","127.0.0.1:13235","127.0.0.1:49350","0","Idle","2"
"2026-04-05T23:44:42.6559831+08:00","TimeWait","127.0.0.1:13236","127.0.0.1:49350","0","Idle","2"
"2026-04-05T23:44:42.6559831+08:00","TimeWait","127.0.0.1:13237","127.0.0.1:49350","0","Idle","2"
"2026-04-05T23:44:42.6559831+08:00","TimeWait","127.0.0.1:13238","127.0.0.1:49350","0","Idle","2"
"2026-04-05T23:44:42.6539839+08:00","TimeWait","127.0.0.1:13239","127.0.0.1:49350","0","Idle","2"
