"Time","State","Local","Remote","OwningPid","ProcessName"
"2026-04-05T23:45:15.3279659+08:00","TimeWait","127.0.0.1:13244","127.0.0.1:49350","0","Idle"
"2026-04-05T23:45:15.3279659+08:00","TimeWait","127.0.0.1:13245","127.0.0.1:49350","0","Idle"
"2026-04-05T23:45:15.3279659+08:00","TimeWait","127.0.0.1:13246","127.0.0.1:5354","0","Idle"
"2026-04-05T23:45:15.3123413+08:00","TimeWait","127.0.0.1:13247","127.0.0.1:5354","0","Idle"
"2026-04-05T23:45:15.3123413+08:00","TimeWait","127.0.0.1:13253","127.0.0.1:27015","0","Idle"
"2026-04-05T23:45:15.3123413+08:00","TimeWait","127.0.0.1:13254","127.0.0.1:27015","0","Idle"
"2026-04-05T23:45:15.2967155+08:00","TimeWait","127.0.0.1:13258","127.0.0.1:27015","0","Idle"
"2026-04-05T23:45:15.2967155+08:00","TimeWait","127.0.0.1:13259","127.0.0.1:27015","0","Idle"
"2026-04-05T23:45:15.2967155+08:00","TimeWait","127.0.0.1:13262","127.0.0.1:49350","0","Idle"
"2026-04-05T23:45:15.2810919+08:00","TimeWait","127.0.0.1:13263","127.0.0.1:49350","0","Idle"
"2026-04-05T23:45:15.2810919+08:00","TimeWait","127.0.0.1:13265","127.0.0.1:49350","0","Idle"
"2026-04-05T23:45:15.2654660+08:00","TimeWait","127.0.0.1:13266","127.0.0.1:49350","0","Idle"
"2026-04-05T23:45:15.2654660+08:00","TimeWait","127.0.0.1:13267","127.0.0.1:49350","0","Idle"
"2026-04-05T23:45:15.2654660+08:00","TimeWait","127.0.0.1:13268","127.0.0.1:49350","0","Idle"
"2026-04-05T23:45:15.2498471+08:00","TimeWait","127.0.0.1:13269","127.0.0.1:49350","0","Idle"
"2026-04-05T23:45:15.2498471+08:00","TimeWait","127.0.0.1:13270","127.0.0.1:49350","0","Idle"
"2026-04-05T23:45:15.2498471+08:00","TimeWait","127.0.0.1:13271","127.0.0.1:49350","0","Idle"
"2026-04-05T23:45:15.2498471+08:00","TimeWait","127.0.0.1:13272","127.0.0.1:49350","0","Idle"
"2026-04-05T23:45:15.2342150+08:00","TimeWait","127.0.0.1:13274","127.0.0.1:49350","0","Idle"
"2026-04-05T23:45:15.2342150+08:00","TimeWait","127.0.0.1:13275","127.0.0.1:49350","0","Idle"
