"Proto","Local","Remote","State","OwningProcess"
"TCP","127.0.0.1:20123","127.0.0.1:11655","Established","6612"
"TCP","127.0.0.1:20123","127.0.0.1:13901","Established","6612"
"TCP","127.0.0.1:20123","127.0.0.1:6973","Established","6612"
"TCP","127.0.0.1:20123","127.0.0.1:9840","Established","6612"
"TCP","127.0.0.1:2495","127.0.0.1:20122","TimeWait","0"
"TCP","127.0.0.1:25120","0.0.0.0:0","Listen","14572"
"TCP","127.0.0.1:27015","0.0.0.0:0","Listen","6432"
"TCP","127.0.0.1:2713","127.0.0.1:20122","Established","8000"
"TCP","127.0.0.1:2803","127.0.0.1:20122","Established","8000"
"TCP","127.0.0.1:2805","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:2806","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:31100","0.0.0.0:0","Listen","6796"
"TCP","127.0.0.1:31104","127.0.0.1:1548","Established","7376"
"TCP","127.0.0.1:31104","127.0.0.1:1560","Established","7376"
"TCP","127.0.0.1:3286","127.0.0.1:20122","Established","8000"
"TCP","127.0.0.1:3287","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:3584","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:3694","127.0.0.1:20122","TimeWait","0"
"TCP","127.0.0.1:3696","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:3697","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:3698","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:3699","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:3700","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:4794","127.0.0.1:20122","TimeWait","0"
"TCP","127.0.0.1:4886","127.0.0.1:13688","Established","23508"
"TCP","127.0.0.1:49350","0.0.0.0:0","Listen","20444"
"TCP","127.0.0.1:49350","127.0.0.1:11708","CloseWait","20444"
"TCP","127.0.0.1:49890","0.0.0.0:0","Listen","7040"
"TCP","127.0.0.1:5164","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:5283","0.0.0.0:0","Listen","14572"
"TCP","127.0.0.1:5284","0.0.0.0:0","Listen","3356"
"TCP","127.0.0.1:5354","0.0.0.0:0","Listen","6512"
